time,latitude,longitude,altitude,travelstate
1364691653,43.7591344,-72.3292406,0,stationary
1364692853,43.7591344,-72.3292406,0,stationary
1364694053,43.7591349,-72.329241,0,stationary
1364695253,43.7591349,-72.329241,0,stationary
1364696453,43.759131,-72.3292372,0,stationary
1364697653,43.7591346,-72.3292407,0,stationary
1364698853,43.7591311,-72.3292374,0,stationary
1364700053,43.7591311,-72.3292374,0,stationary
1364701253,43.7591311,-72.3292374,0,stationary
1364702453,43.7591345,-72.3292408,0,stationary
1364703653,43.7591311,-72.3292374,0,stationary
1364704853,43.7591311,-72.3292374,0,stationary
1364706053,43.759137,-72.3292394,0,stationary
1364707253,43.7591365,-72.329237,0,stationary
1364708453,43.7591328,-72.3292421,0,stationary
1364709653,43.7591376,-72.3292377,0,stationary
1364710853,43.7591334,-72.3292436,0,stationary
1364712053,43.7591334,-72.3292436,0,stationary
1364713253,43.7591334,-72.3292436,0,stationary
1364714453,43.7591334,-72.3292436,0,stationary
1364715653,43.7591334,-72.3292436,0,stationary
1364716853,43.7591334,-72.3292436,0,stationary
1364718053,43.7591334,-72.3292436,0,stationary
1364719253,43.7591334,-72.3292436,0,stationary
1364720453,43.7591334,-72.3292436,0,stationary
1364721653,43.7591334,-72.3292436,0,stationary
1364722853,43.7591334,-72.3292436,0,stationary
1364724053,43.7591334,-72.3292436,0,stationary
1364725253,43.7591334,-72.3292436,0,stationary
1364726453,43.7591334,-72.3292436,0,stationary
1364727653,43.7591334,-72.3292436,0,stationary
1364728853,43.7591334,-72.3292436,0,stationary
1364730053,43.7591334,-72.3292436,0,stationary
1364731253,43.7591334,-72.3292436,0,stationary
1364732453,43.7591334,-72.3292436,0,stationary
1364733653,43.7591334,-72.3292436,0,stationary
1364734853,43.7591334,-72.3292436,0,stationary
1364736053,43.7591334,-72.3292436,0,stationary
1364737253,43.7591346,-72.3292405,0,stationary
1364738453,43.7591344,-72.3292403,0,stationary
1364739653,43.6962998,-72.2833065,0,stationary
1364740846,43.7870288,-72.32227686,371.2999878,
1364742007,43.76469967,-72.32249553,277,
1364743253,43.69029,-72.299611,0,moving
1364744453,43.6081011,-72.1621222,0,moving
1364745653,43.7591348,-72.3292404,0,moving
1364746853,43.7591346,-72.3292404,0,moving
1364748053,43.7591355,-72.3292376,0,stationary
1364749253,43.7591368,-72.3292423,0,stationary
1364750453,43.7591347,-72.3292352,0,stationary
1364751653,43.7591318,-72.3292394,0,stationary
1364752853,43.7591318,-72.3292394,0,stationary
1364754053,43.7591318,-72.3292394,0,stationary
1364755253,43.7591318,-72.3292394,0,stationary
1364756453,43.7591304,-72.3292394,0,stationary
1364757653,43.7591347,-72.3292394,0,stationary
1364758853,43.759136,-72.3292406,0,stationary
1364760053,43.7591347,-72.3292394,0,stationary
1364761253,43.7591338,-72.3292394,0,stationary
1364761254,43.7591338,-72.3292394,0,stationary
1364763643,43.76864436,-72.32348184,270.2999878,
1364764853,43.6962998,-72.2833065,0,moving
1364766053,43.7591346,-72.3292411,0,moving
1364767253,43.7591313,-72.3292363,0,stationary
1364768453,43.7591349,-72.3292406,0,stationary
1364769653,43.7591313,-72.3292375,0,stationary
